adx_threshold,rsi_dip_level,atr_stop_mult,atr_target_mult,momentum_score_min,bb_dip_level,return,sharpe,win_rate,pf,dd,n_trades,score,date
30,45,2.0,3.5,0.6,0.15,0,0.0,0.0,0.0,0,1,0.0,2026-03-25
20,35,1.0,2.5,0.4,0.05,0,0.0,0.0,0.0,0,0,0.0,2026-03-25
20,35,1.0,2.5,0.4,0.1,0,0.0,0.0,0.0,0,0,0.0,2026-03-25
20,35,1.0,2.5,0.4,0.15,0,0.0,0.0,0.0,0,0,0.0,2026-03-25
20,35,1.0,2.5,0.5,0.05,0,0.0,0.0,0.0,0,0,0.0,2026-03-25
20,35,1.0,2.5,0.5,0.1,0,0.0,0.0,0.0,0,0,0.0,2026-03-25
20,35,1.0,2.5,0.5,0.15,0,0.0,0.0,0.0,0,0,0.0,2026-03-25
20,35,1.0,2.5,0.6,0.05,0,0.0,0.0,0.0,0,0,0.0,2026-03-25
20,35,1.0,2.5,0.6,0.1,0,0.0,0.0,0.0,0,0,0.0,2026-03-25
20,35,1.0,2.5,0.6,0.15,0,0.0,0.0,0.0,0,0,0.0,2026-03-25
